Wall time,Step,Value
1619583184.381687,4001,0.3125
1619583235.1237538,8001,0.125
1619583285.9264984,12001,0.375
1619583336.604073,16001,0.125
1619583388.0998566,20001,0.125
1619583440.2116833,24001,0.375
1619583492.7720857,28001,0.375
1619583545.5292196,32001,0.5
1619583600.3728733,36001,0.625
1619583654.966372,40001,0.875
1619583709.7209828,44001,0.25
1619583764.8415189,48001,0.5
1619583820.6329033,52001,0.625
1619583877.9518676,56001,0.875
1619583933.9991467,60001,0.5
1619583992.3512442,64001,0.625
1619584050.306862,68001,0.625
1619584111.0635827,72001,1.0
1619584170.8256915,76001,0.75
1619584233.0069146,80001,0.875
1619584296.3226535,84001,0.75
1619584360.62165,88001,0.875
1619584425.5342505,92001,0.5
1619584489.5958598,96001,0.875
1619584552.7688937,100001,0.875
1619584619.0619004,104001,0.875
1619584685.6066492,108001,1.0
1619584754.4463384,112001,0.875
1619584822.1791494,116001,1.0
1619584889.8811893,120001,0.75
1619584958.3429012,124001,0.875
1619585027.9509993,128001,1.0
1619585097.035044,132001,0.875
1619585164.1449075,136001,1.0
1619585233.790615,140001,1.0
1619585301.1048305,144001,0.875
1619585367.7985713,148001,1.0
1619585461.7345452,152001,1.0
1619585561.1080801,156001,1.0
1619585662.3876772,160001,1.0
1619585762.3633096,164001,0.875
1619585863.6403096,168001,0.875
1619585966.2781363,172001,1.0
1619586066.1514044,176001,1.0
1619586169.391859,180001,1.0
1619586270.9001124,184001,1.0
1619586372.9788039,188001,1.0
1619586477.434196,192001,1.0
1619586580.2189136,196001,1.0
1619586683.1980917,200001,1.0
1619586785.7984893,204001,1.0
1619586891.353942,208001,0.875
1619586998.9039037,212001,1.0
1619587105.5626154,216001,1.0
1619587212.2589736,220001,1.0
1619587319.638761,224001,1.0
1619587426.9720142,228001,1.0
1619587535.281909,232001,0.875
1619587643.418997,236001,1.0
1619587751.5469866,240001,1.0
1619587860.8977628,244001,1.0
1619587971.0489697,248001,1.0
1619588081.695316,252001,1.0
1619588188.9613955,256001,1.0
1619588297.1178,260001,1.0
1619588405.3698115,264001,1.0
1619588513.8961895,268001,0.875
1619588625.910047,272001,1.0
1619588736.9923732,276001,1.0
1619588848.6769953,280001,1.0
1619588960.1029856,284001,1.0
1619589072.4115028,288001,0.875
1619589187.1021295,292001,1.0
1619589302.3829517,296001,1.0
1619589417.5168893,300001,1.0
1619589533.2072175,304001,1.0
1619589647.9170604,308001,1.0
1619589760.8358178,312001,1.0
1619589874.2384915,316001,1.0
1619589986.3953092,320001,1.0
1619590098.185475,324001,1.0
1619590210.8526442,328001,1.0
1619590323.101091,332001,1.0
1619590434.096648,336001,1.0
1619590546.6475751,340001,1.0
1619590659.3680623,344001,1.0
1619590771.0057964,348001,1.0
1619590882.9617543,352001,1.0
1619590994.6416948,356001,1.0
1619591106.221815,360001,1.0
1619591218.1431718,364001,1.0
1619591330.1170218,368001,1.0
1619591441.3264918,372001,1.0
1619591553.9792643,376001,1.0
1619591665.2865164,380001,1.0
1619591777.9210622,384001,1.0
1619591890.210509,388001,1.0
1619592002.3364527,392001,1.0
1619592115.5300267,396001,1.0
1619592227.255169,400001,1.0
1619592339.5861616,404001,1.0
1619592453.3395925,408001,1.0
1619592558.9088283,412001,1.0
1619592662.1138124,416001,1.0
1619592765.2869942,420001,1.0
1619592868.7089863,424001,1.0
1619592971.5941937,428001,1.0
1619593074.9002943,432001,0.875
1619593178.3353245,436001,1.0
1619593281.022882,440001,1.0
1619593386.4135945,444001,1.0
1619593490.7095294,448001,1.0
1619593594.7056463,452001,1.0
1619593698.9367867,456001,1.0
1619593803.0872717,460001,1.0
1619593906.3500178,464001,1.0
1619594010.5887265,468001,1.0
1619594115.4326696,472001,1.0
1619594219.2564628,476001,1.0
1619594323.3645442,480001,1.0
1619594428.958487,484001,1.0
1619594533.0320776,488001,1.0
1619594637.1958463,492001,1.0
1619594742.340775,496001,1.0
1619594846.935019,500001,1.0
