Wall time,Step,Value
1619585456.1380713,4001,0.0
1619585529.1109307,8001,0.0
1619585601.997086,12001,0.125
1619585675.867032,16001,0.375
1619585748.8074658,20001,0.0
1619585822.5598803,24001,0.0
1619585895.960925,28001,0.0
1619585969.4174092,32001,0.125
1619586042.7084548,36001,0.25
1619586115.9593923,40001,0.125
1619586189.9099166,44001,0.25
1619586263.8105583,48001,0.125
1619586336.5929,52001,0.125
1619586409.368603,56001,0.125
1619586482.9223993,60001,0.125
1619586557.7365854,64001,0.25
1619586631.6033635,68001,0.125
1619586705.8861735,72001,0.25
1619586779.8657851,76001,0.125
1619586856.3134987,80001,0.25
1619586933.519433,84001,0.125
1619587012.081965,88001,0.5
1619587089.8901973,92001,0.5
1619587166.5039551,96001,0.25
1619587243.2124987,100001,0.25
1619587320.0083594,104001,0.625
1619587397.6369538,108001,0.5
1619587475.0835724,112001,0.5
1619587553.8079696,116001,0.375
1619587633.6569877,120001,0.25
1619587712.6243029,124001,0.5
1619587791.5347114,128001,0.625
1619587871.3390725,132001,0.125
1619587952.1111276,136001,0.375
1619588030.594374,140001,0.5
1619588110.1731343,144001,0.625
1619588188.4806397,148001,0.5
1619588267.4006922,152001,0.25
1619588346.922422,156001,0.875
1619588426.198884,160001,0.25
1619588506.688379,164001,0.625
1619588588.4207091,168001,0.5
1619588671.0087636,172001,0.0
1619588752.2551882,176001,0.5
1619588834.204484,180001,0.625
1619588916.0043182,184001,0.875
1619588997.5958002,188001,0.25
1619589079.9387095,192001,0.75
1619589165.683824,196001,0.75
1619589250.9601023,200001,0.75
1619589335.0582254,204001,0.5
1619589418.7210464,208001,0.625
1619589504.1915567,212001,0.375
1619589587.3998709,216001,0.875
1619589670.826363,220001,0.75
1619589755.3246152,224001,0.625
1619589839.860227,228001,0.75
1619589922.109337,232001,0.625
1619590003.9222302,236001,0.625
1619590086.734839,240001,0.625
1619590168.3685257,244001,0.5
1619590250.451406,248001,0.875
1619590333.1996922,252001,0.875
1619590416.910315,256001,0.75
1619590499.7880948,260001,0.75
1619590582.8246722,264001,0.875
1619590665.1723485,268001,0.5
1619590748.9588904,272001,0.875
1619590832.4185412,276001,0.625
1619590915.9596694,280001,0.25
1619590998.947822,284001,0.75
1619591082.0113764,288001,0.625
1619591164.287256,292001,0.875
1619591247.7798674,296001,0.75
1619591330.1922963,300001,0.5
1619591413.351407,304001,1.0
1619591496.9718168,308001,0.375
1619591580.4150822,312001,0.75
1619591663.5566912,316001,1.0
1619591746.5837665,320001,0.5
1619591830.1210675,324001,0.875
1619591913.2116437,328001,0.625
1619591997.5753107,332001,0.75
1619592081.262833,336001,0.875
1619592164.64606,340001,0.75
1619592248.1560035,344001,0.875
1619592331.970892,348001,0.625
1619592415.0396514,352001,0.75
1619592497.0330105,356001,0.875
1619592574.531635,360001,0.625
1619592651.1018722,364001,0.875
1619592728.6612506,368001,0.75
1619592804.9357274,372001,0.75
1619592881.9190073,376001,0.875
1619592959.310634,380001,0.875
1619593037.0724807,384001,0.875
1619593113.828221,388001,0.875
1619593191.812144,392001,0.875
1619593269.5371256,396001,0.75
1619593346.9639256,400001,0.75
1619593422.7796068,404001,1.0
1619593499.2369132,408001,1.0
1619593577.580215,412001,0.875
1619593655.0593588,416001,1.0
1619593733.0891936,420001,0.875
1619593810.9572225,424001,0.875
1619593889.037621,428001,0.875
1619593966.895388,432001,0.75
1619594044.8978026,436001,0.625
1619594122.6515214,440001,0.625
1619594200.8789763,444001,0.875
1619594279.2423296,448001,0.75
1619594356.9813905,452001,0.875
1619594434.1113293,456001,0.625
1619594511.5706317,460001,1.0
1619594590.274086,464001,1.0
1619594668.3050432,468001,0.875
1619594747.059735,472001,0.75
1619594825.6846106,476001,0.875
1619594890.6981657,480001,0.625
1619594951.6741085,484001,0.75
1619595011.530466,488001,0.875
1619595070.5700388,492001,1.0
1619595130.872574,496001,0.75
1619595191.2523704,500001,0.875
