Wall time,Step,Value
1619632466.3623478,4001,0.0
1619632485.3127992,8001,0.0
1619632503.8425393,12001,0.125
1619632522.9908335,16001,0.25
1619632540.8064957,20001,0.125
1619632559.3614802,24001,0.0
1619632577.8859906,28001,0.0
1619632595.6870031,32001,0.0
1619632614.3091292,36001,0.125
1619632634.251334,40001,0.125
1619632651.8072033,44001,0.0
1619632671.983902,48001,0.25
1619632691.1402745,52001,0.375
1619632710.6641371,56001,0.25
1619632728.8793054,60001,0.375
1619632746.76167,64001,0.125
1619632765.074109,68001,0.125
1619632783.034539,72001,0.125
1619632800.9019365,76001,0.5
1619632822.0254204,80001,0.5
1619632839.719958,84001,0.125
1619632859.1323516,88001,0.625
1619632955.8608048,92001,0.5
1619633052.592433,96001,0.375
1619633138.644364,100001,0.375
1619633237.0677755,104001,0.625
1619633319.899432,108001,0.375
1619633418.1257398,112001,0.625
1619633508.898145,116001,0.75
1619633583.0257945,120001,0.375
1619633675.5241227,124001,0.625
1619633773.763924,128001,0.625
1619633859.8339677,132001,0.625
1619633956.7212896,136001,0.625
1619634054.5092402,140001,0.875
1619634135.9583344,144001,0.625
1619634212.1462767,148001,0.25
1619634310.5274246,152001,0.5
1619634401.4543614,156001,0.875
1619634493.512463,160001,0.75
1619634592.7606566,164001,0.75
1619634676.3489983,168001,0.625
1619634774.2021098,172001,0.75
1619634856.5536416,176001,0.375
1619634932.2758381,180001,1.0
1619635028.9887266,184001,0.5
1619635124.1435573,188001,0.75
1619635211.5362945,192001,0.875
1619635301.2430441,196001,1.0
1619635396.9231899,200001,0.75
1619635491.3900812,204001,0.875
1619635566.5488052,208001,0.625
1619635583.418894,212001,0.625
1619635600.2819571,216001,0.625
1619635617.178167,220001,0.5
1619635634.130352,224001,0.625
1619635650.9668994,228001,0.75
1619635667.8066747,232001,0.75
1619635684.7055316,236001,1.0
1619635701.5756044,240001,0.875
1619635718.4288445,244001,0.625
1619635735.236725,248001,0.875
1619635752.2443125,252001,1.0
1619635769.1708379,256001,0.5
1619635786.0450854,260001,0.75
1619635803.0188878,264001,0.875
1619635819.910613,268001,0.75
1619635836.8032162,272001,0.625
1619635853.793259,276001,0.75
1619635870.7347414,280001,1.0
1619635887.7366648,284001,0.625
1619635904.8903177,288001,0.75
1619635921.90249,292001,0.875
1619635938.9517128,296001,0.875
1619635955.8684835,300001,0.875
1619635973.0436802,304001,0.875
1619635990.0336428,308001,1.0
1619636007.0161657,312001,0.625
1619636023.9629538,316001,0.5
1619636040.9751902,320001,0.875
1619636058.1347075,324001,1.0
1619636075.2342443,328001,0.75
1619636092.1907098,332001,0.75
1619636109.3531458,336001,0.75
1619636126.4017484,340001,1.0
1619636143.5305126,344001,0.75
1619636162.1308746,348001,0.75
1619636180.90801,352001,1.0
1619636200.2819781,356001,1.0
1619636219.940831,360001,1.0
1619636240.0719635,364001,0.75
1619636260.009946,368001,0.75
1619636278.1997755,372001,0.75
1619636296.6634228,376001,0.875
1619636316.0870435,380001,1.0
1619636335.552719,384001,0.875
1619636354.2467918,388001,0.875
1619636372.6716197,392001,1.0
1619636391.1775978,396001,1.0
