Wall time,Step,Value
1619585456.1404774,4001,-35.04656982421875
1619585529.1091838,8001,-33.4490966796875
1619585601.9959264,12001,-33.6932258605957
1619585675.8657646,16001,-33.1532096862793
1619585748.8059576,20001,-32.48051452636719
1619585822.5586836,24001,-30.77229881286621
1619585895.959375,28001,-29.299306869506836
1619585969.416324,32001,-28.534067153930664
1619586042.7071903,36001,-28.116056442260742
1619586115.9581215,40001,-27.37047004699707
1619586189.9085386,44001,-27.086578369140625
1619586263.8095422,48001,-24.969022750854492
1619586336.5914667,52001,-24.217370986938477
1619586409.3674426,56001,-24.686548233032227
1619586482.9209762,60001,-23.718481063842773
1619586557.7353325,64001,-21.487812042236328
1619586631.6020155,68001,-21.90315055847168
1619586705.8847184,72001,-21.23285484313965
1619586779.8645759,76001,-20.027982711791992
1619586856.312466,80001,-20.129362106323242
1619586933.5181687,84001,-18.481464385986328
1619587012.080741,88001,-17.918441772460938
1619587089.8889904,92001,-17.8359317779541
1619587166.502372,96001,-17.78285026550293
1619587243.2108173,100001,-16.976350784301758
1619587320.006643,104001,-17.220951080322266
1619587397.634962,108001,-16.443693161010742
1619587475.0815318,112001,-16.352401733398438
1619587553.806539,116001,-15.264104843139648
1619587633.6556087,120001,-15.347147941589355
1619587712.6225264,124001,-15.315122604370117
1619587791.533621,128001,-14.512348175048828
1619587871.3376446,132001,-14.497750282287598
1619587952.1099586,136001,-14.072553634643555
1619588030.5925512,140001,-14.629594802856445
1619588110.171684,144001,-13.710862159729004
1619588188.479353,148001,-14.08298397064209
1619588267.3991578,152001,-12.933465003967285
1619588346.9210453,156001,-13.285622596740723
1619588426.1971822,160001,-12.850968360900879
1619588506.687287,164001,-13.213125228881836
1619588588.4193897,168001,-12.579489707946777
1619588671.007213,172001,-12.28773307800293
1619588752.2540803,176001,-12.270536422729492
1619588834.2029643,180001,-12.709540367126465
1619588916.0029876,184001,-12.04355525970459
1619588997.594367,188001,-11.674210548400879
1619589079.936634,192001,-12.399941444396973
1619589165.6823947,196001,-11.737394332885742
1619589250.958655,200001,-11.72514533996582
1619589335.0570228,204001,-11.382225036621094
1619589418.7193518,208001,-11.878888130187988
1619589504.1903636,212001,-10.972074508666992
1619589587.3982408,216001,-11.525127410888672
1619589670.825236,220001,-10.748315811157227
1619589755.3232272,224001,-10.655041694641113
1619589839.8578746,228001,-10.503883361816406
1619589922.108206,232001,-10.766357421875
1619590003.9211423,236001,-11.000295639038086
1619590086.7337837,240001,-10.607528686523438
1619590168.367077,244001,-10.65215015411377
1619590250.4502244,248001,-10.588862419128418
1619590333.1984696,252001,-10.186858177185059
1619590416.9088438,256001,-9.888497352600098
1619590499.786885,260001,-9.815914154052734
1619590582.8229353,264001,-9.706329345703125
1619590665.170636,268001,-9.797568321228027
1619590748.9578214,272001,-9.854568481445312
1619590832.417137,276001,-9.56404972076416
1619590915.9580102,280001,-9.15977668762207
1619590998.9463441,284001,-9.4219970703125
1619591082.0101192,288001,-9.300479888916016
1619591164.2859716,292001,-9.270214080810547
1619591247.7783546,296001,-8.61713981628418
1619591330.1908832,300001,-9.154036521911621
1619591413.3499362,304001,-9.147781372070312
1619591496.9701931,308001,-8.633315086364746
1619591580.414,312001,-8.766678810119629
1619591663.5553772,316001,-9.216669082641602
1619591746.582472,320001,-8.693784713745117
1619591830.1194386,324001,-8.731465339660645
1619591913.210355,328001,-8.985381126403809
1619591997.5741265,332001,-8.542142868041992
1619592081.2617729,336001,-8.646379470825195
1619592164.6442065,340001,-8.81695556640625
1619592248.1549687,344001,-8.518177032470703
1619592331.969468,348001,-8.267844200134277
1619592415.0383713,352001,-8.586365699768066
1619592497.0318508,356001,-8.21950912475586
1619592574.5303078,360001,-7.996431827545166
1619592651.1005683,364001,-8.410417556762695
1619592728.660106,368001,-7.97834587097168
1619592804.934435,372001,-8.065305709838867
1619592881.917903,376001,-7.909173965454102
1619592959.309154,380001,-8.05278491973877
1619593037.071348,384001,-7.918568134307861
1619593113.826955,388001,-7.712144374847412
1619593191.8106008,392001,-7.712565898895264
1619593269.5359585,396001,-7.868544578552246
1619593346.96275,400001,-8.046956062316895
1619593422.7784395,404001,-8.355173110961914
1619593499.2359226,408001,-7.956175804138184
1619593577.5789924,412001,-7.614145278930664
1619593655.0576413,416001,-7.96753454208374
1619593733.0880713,420001,-7.513275146484375
1619593810.9559872,424001,-7.643167972564697
1619593889.0361009,428001,-7.580800533294678
1619593966.893658,432001,-7.7553606033325195
1619594044.8966005,436001,-7.496825218200684
1619594122.6504037,440001,-7.36013650894165
1619594200.8779364,444001,-7.587200164794922
1619594279.2410312,448001,-7.2440104484558105
1619594356.980191,452001,-7.456927299499512
1619594434.110135,456001,-7.539677143096924
1619594511.5694182,460001,-7.610705375671387
1619594590.2724857,464001,-7.370045185089111
1619594668.303593,468001,-7.277251243591309
1619594747.0581143,472001,-7.147602558135986
1619594825.6830642,476001,-7.257950305938721
1619594890.6966443,480001,-7.349905967712402
1619594951.6729603,484001,-7.032500743865967
1619595011.5292068,488001,-7.179812431335449
1619595070.5688663,492001,-7.327429294586182
1619595130.8713977,496001,-6.936938285827637
1619595191.2512534,500001,-6.8457841873168945
