Wall time,Step,Value
1619585456.1383605,4001,0.0
1619585529.1117017,8001,0.0
1619585601.9973664,12001,0.0
1619585675.8673291,16001,0.25
1619585748.807799,20001,0.0
1619585822.5601614,24001,0.25
1619585895.961331,28001,0.0
1619585969.4176435,32001,0.25
1619586042.708747,36001,0.125
1619586115.9596944,40001,0.125
1619586189.9102085,44001,0.0
1619586263.8107944,48001,0.125
1619586336.5932615,52001,0.25
1619586409.3688774,56001,0.0
1619586482.922755,60001,0.375
1619586557.7368627,64001,0.25
1619586631.6036644,68001,0.0
1619586705.8864884,72001,0.0
1619586779.8660154,76001,0.125
1619586856.3137329,80001,0.375
1619586933.5197191,84001,0.25
1619587012.0822558,88001,0.5
1619587089.890485,92001,0.375
1619587166.5043287,96001,0.25
1619587243.2128518,100001,0.125
1619587320.0086534,104001,0.125
1619587397.6372936,108001,0.5
1619587475.0839832,112001,0.25
1619587553.8082485,116001,0.5
1619587633.6573129,120001,0.5
1619587712.6245842,124001,0.125
1619587791.534965,128001,0.375
1619587871.3394608,132001,0.5
1619587952.1113951,136001,0.25
1619588030.5946994,140001,0.375
1619588110.173432,144001,0.625
1619588188.4809349,148001,0.75
1619588267.4010358,152001,0.5
1619588346.9227421,156001,0.75
1619588426.1993086,160001,0.375
1619588506.6886141,164001,0.5
1619588588.4211407,168001,0.5
1619588671.0090544,172001,0.5
1619588752.2554522,176001,0.5
1619588834.2048385,180001,0.875
1619588916.0046062,184001,0.625
1619588997.5960855,188001,0.5
1619589079.9390483,192001,0.625
1619589165.684123,196001,0.875
1619589250.9604475,200001,0.625
1619589335.0587897,204001,0.625
1619589418.7213326,208001,0.625
1619589504.191856,212001,0.5
1619589587.400207,216001,0.75
1619589670.826608,220001,0.75
1619589755.325218,224001,0.25
1619589839.86073,228001,0.875
1619589922.1095886,232001,0.625
1619590003.922482,236001,0.875
1619590086.735076,240001,0.75
1619590168.368934,244001,0.75
1619590250.4516563,248001,0.75
1619590333.1999605,252001,0.625
1619590416.9106655,256001,0.875
1619590499.7883732,260001,0.875
1619590582.8250914,264001,0.75
1619590665.172833,268001,0.625
1619590748.9591267,272001,0.75
1619590832.4188042,276001,0.625
1619590915.9600246,280001,0.625
1619590998.9481132,284001,0.5
1619591082.011656,288001,0.75
1619591164.2876675,292001,0.75
1619591247.7802,296001,0.875
1619591330.1925833,300001,0.5
1619591413.3517425,304001,0.75
1619591496.972217,308001,0.625
1619591580.4153225,312001,0.75
1619591663.5569825,316001,0.875
1619591746.5840158,320001,0.75
1619591830.1213624,324001,0.75
1619591913.211932,328001,0.75
1619591997.5755906,332001,0.625
1619592081.2630696,336001,0.75
1619592164.6465967,340001,0.5
1619592248.1562414,344001,0.875
1619592331.9712646,348001,0.625
1619592415.0398927,352001,0.75
1619592497.033239,356001,0.75
1619592574.5319378,360001,0.75
1619592651.102133,364001,0.875
1619592728.66148,368001,1.0
1619592804.9360335,372001,1.0
1619592881.9192502,376001,0.875
1619592959.3109996,380001,0.625
1619593037.0727174,384001,0.625
1619593113.8284974,388001,0.75
1619593191.8125088,392001,0.875
1619593269.5373588,396001,0.875
1619593346.964186,400001,0.75
1619593422.779865,404001,0.75
1619593499.237151,408001,0.875
1619593577.5804598,412001,0.875
1619593655.059728,416001,0.75
1619593733.0894313,420001,0.75
1619593810.95746,424001,0.875
1619593889.037952,428001,0.875
1619593966.8958464,432001,0.875
1619594044.8980415,436001,0.875
1619594122.6517537,440001,0.5
1619594200.8792143,444001,0.75
1619594279.242624,448001,1.0
1619594356.981655,452001,1.0
1619594434.1115663,456001,0.75
1619594511.5709078,460001,0.875
1619594590.2743855,464001,1.0
1619594668.3053534,468001,0.875
1619594747.060082,472001,0.875
1619594825.6850069,476001,1.0
1619594890.6985447,480001,0.875
1619594951.6743674,484001,0.75
1619595011.5307107,488001,0.875
1619595070.5703657,492001,0.875
1619595130.8728118,496001,0.875
1619595191.2526047,500001,0.875
