Wall time,Step,Value
1619583184.38439,4001,-28.206600189208984
1619583235.1227734,8001,-26.207408905029297
1619583285.9250736,12001,-26.241352081298828
1619583336.6027887,16001,-24.679704666137695
1619583388.0986328,20001,-22.805248260498047
1619583440.2107015,24001,-20.82155990600586
1619583492.771005,28001,-20.218219757080078
1619583545.5281622,32001,-17.853307723999023
1619583600.3718312,36001,-16.782392501831055
1619583654.9653249,40001,-14.792792320251465
1619583709.7199295,44001,-14.537044525146484
1619583764.839973,48001,-13.402408599853516
1619583820.6315832,52001,-12.315062522888184
1619583877.950739,56001,-11.362086296081543
1619583933.998073,60001,-10.926137924194336
1619583992.3499596,64001,-9.623649597167969
1619584050.305659,68001,-9.640494346618652
1619584111.0622716,72001,-8.688980102539062
1619584170.8245158,76001,-8.708443641662598
1619584233.0059133,80001,-7.7768144607543945
1619584296.3216095,84001,-7.2691802978515625
1619584360.6204677,88001,-7.114418983459473
1619584425.5330465,92001,-6.999388694763184
1619584489.59474,96001,-6.248265266418457
1619584552.7675078,100001,-6.323440074920654
1619584619.060761,104001,-5.749955654144287
1619584685.6054916,108001,-5.644362449645996
1619584754.4453042,112001,-5.732491493225098
1619584822.178039,116001,-5.667444705963135
1619584889.879602,120001,-5.45436954498291
1619584958.3418672,124001,-5.440424919128418
1619585027.9497197,128001,-4.751366138458252
1619585097.0340207,132001,-4.890259742736816
1619585164.1436517,136001,-4.665025234222412
1619585233.7893133,140001,-4.695303916931152
1619585301.1034884,144001,-4.536068916320801
1619585367.7975252,148001,-4.559207916259766
1619585461.7329414,152001,-4.590872764587402
1619585561.1063907,156001,-4.40212345123291
1619585662.3865273,160001,-4.227713584899902
1619585762.362221,164001,-4.334389686584473
1619585863.6390002,168001,-4.349954605102539
1619585966.27532,172001,-3.9820942878723145
1619586066.150201,176001,-4.063215255737305
1619586169.3908033,180001,-3.9342596530914307
1619586270.8986459,184001,-4.0091423988342285
1619586372.9769685,188001,-3.7844839096069336
1619586477.4328623,192001,-3.6933746337890625
1619586580.217792,196001,-3.7212235927581787
1619586683.1967075,200001,-3.856996536254883
1619586785.797221,204001,-3.7863974571228027
1619586891.3522675,208001,-3.805677890777588
1619586998.9025435,212001,-3.5900626182556152
1619587105.5615656,216001,-3.484983444213867
1619587212.2576425,220001,-3.3376922607421875
1619587319.6369007,224001,-3.3684630393981934
1619587426.9706457,228001,-3.3548359870910645
1619587535.2798195,232001,-3.4443767070770264
1619587643.417577,236001,-3.285475492477417
1619587751.5458713,240001,-3.445770740509033
1619587860.8961356,244001,-3.156161308288574
1619587971.0471864,248001,-3.263838768005371
1619588081.6932542,252001,-3.167649984359741
1619588188.9598029,256001,-3.276431083679199
1619588297.1164994,260001,-3.254338026046753
1619588405.3687077,264001,-3.1351773738861084
1619588513.8947365,268001,-3.0888400077819824
1619588625.908595,272001,-3.071000576019287
1619588736.991168,276001,-3.0070934295654297
1619588848.6755283,280001,-3.061063528060913
1619588960.1014915,284001,-2.8133091926574707
1619589072.4096422,288001,-2.9506325721740723
1619589187.0996227,292001,-2.9892899990081787
1619589302.3814454,296001,-2.996744155883789
1619589417.5157912,300001,-2.8406383991241455
1619589533.20571,304001,-2.818659782409668
1619589647.9147584,308001,-2.990142583847046
1619589760.8343387,312001,-2.818927049636841
1619589874.2365522,316001,-2.8101208209991455
1619589986.3941214,320001,-2.884582042694092
1619590098.1843054,324001,-2.8580665588378906
1619590210.8508835,328001,-2.8251287937164307
1619590323.0998013,332001,-2.8254122734069824
1619590434.0952094,336001,-2.704641580581665
1619590546.646268,340001,-2.8021655082702637
1619590659.36641,344001,-2.625155210494995
1619590771.0041187,348001,-2.685236692428589
1619590882.960511,352001,-2.7185678482055664
1619590994.639799,356001,-2.6962592601776123
1619591106.220205,360001,-2.68552565574646
1619591218.1420004,364001,-2.569000005722046
1619591330.1155064,368001,-2.6535398960113525
1619591441.3247025,372001,-2.673556327819824
1619591553.9779785,376001,-2.582803726196289
1619591665.2847304,380001,-2.686990976333618
1619591777.9192197,384001,-2.6096606254577637
1619591890.208267,388001,-2.632418155670166
1619592002.333889,392001,-2.483290433883667
1619592115.5286486,396001,-2.3957924842834473
1619592227.2538016,400001,-2.5578484535217285
1619592339.5844016,404001,-2.470205068588257
1619592453.3380618,408001,-2.410801649093628
1619592558.9077325,412001,-2.505889654159546
1619592662.112458,416001,-2.461970806121826
1619592765.2854323,420001,-2.499330997467041
1619592868.707841,424001,-2.4656808376312256
1619592971.592664,428001,-2.351198673248291
1619593074.8990958,432001,-2.466315746307373
1619593178.333721,436001,-2.4376184940338135
1619593281.0217974,440001,-2.481110095977783
1619593386.4117308,444001,-2.224270820617676
1619593490.7082324,448001,-2.367511510848999
1619593594.703836,452001,-2.314413070678711
1619593698.9352105,456001,-2.304865598678589
1619593803.0860696,460001,-2.2895500659942627
1619593906.3486023,464001,-2.358086109161377
1619594010.587599,468001,-2.305222988128662
1619594115.430931,472001,-2.3065531253814697
1619594219.2551064,476001,-2.211841106414795
1619594323.3631968,480001,-2.2807772159576416
1619594428.9573824,484001,-2.2901344299316406
1619594533.0309825,488001,-2.1754190921783447
1619594637.1942086,492001,-2.251283645629883
1619594742.3394122,496001,-2.1464474201202393
1619594846.9329743,500001,-2.155367851257324
