Wall time,Step,Value
1619583184.3820987,4001,0.0
1619583235.1239948,8001,0.375
1619583285.9268634,12001,0.375
1619583336.6043694,16001,0.25
1619583388.1001432,20001,0.125
1619583440.2119205,24001,0.5
1619583492.7723722,28001,0.625
1619583545.5294344,32001,0.125
1619583600.3731163,36001,0.5
1619583654.9666073,40001,0.25
1619583709.7212284,44001,0.625
1619583764.8418145,48001,0.625
1619583820.6331737,52001,0.5
1619583877.9521015,56001,0.375
1619583933.999377,60001,0.75
1619583992.351487,64001,0.625
1619584050.307129,68001,0.5
1619584111.0638182,72001,0.75
1619584170.8259459,76001,1.0
1619584233.0071476,80001,1.0
1619584296.322925,84001,0.625
1619584360.6218858,88001,0.875
1619584425.5344977,92001,1.0
1619584489.596094,96001,0.75
1619584552.769262,100001,1.0
1619584619.062132,104001,0.875
1619584685.606883,108001,1.0
1619584754.4465816,112001,1.0
1619584822.1793797,116001,0.875
1619584889.8814902,120001,0.875
1619584958.3431342,124001,0.875
1619585027.9512336,128001,1.0
1619585097.035276,132001,0.875
1619585164.145212,136001,1.0
1619585233.7908716,140001,0.875
1619585301.1050944,144001,1.0
1619585367.7987995,148001,1.0
1619585461.7348685,152001,1.0
1619585561.1084666,156001,1.0
1619585662.3879733,160001,0.75
1619585762.3635404,164001,1.0
1619585863.6405957,168001,1.0
1619585966.2784894,172001,1.0
1619586066.1516738,176001,1.0
1619586169.392117,180001,0.875
1619586270.900461,184001,1.0
1619586372.979102,188001,1.0
1619586477.4344428,192001,1.0
1619586580.2191448,196001,1.0
1619586683.1984046,200001,1.0
1619586785.79879,204001,1.0
1619586891.3542316,208001,1.0
1619586998.9041452,212001,1.0
1619587105.5628462,216001,1.0
1619587212.2593653,220001,1.0
1619587319.6391425,224001,1.0
1619587426.9722404,228001,1.0
1619587535.2823234,232001,1.0
1619587643.4192975,236001,1.0
1619587751.5472171,240001,1.0
1619587860.8981092,244001,1.0
1619587971.0493844,248001,1.0
1619588081.6958902,252001,1.0
1619588188.9616518,256001,1.0
1619588297.1180599,260001,1.0
1619588405.3700438,264001,1.0
1619588513.8964508,268001,0.875
1619588625.9103472,272001,1.0
1619588736.9926224,276001,1.0
1619588848.6774035,280001,1.0
1619588960.1032856,284001,1.0
1619589072.4118445,288001,1.0
1619589187.1024575,292001,1.0
1619589302.383277,296001,1.0
1619589417.517135,300001,1.0
1619589533.2076354,304001,1.0
1619589647.91744,308001,1.0
1619589760.8361084,312001,1.0
1619589874.238874,316001,1.0
1619589986.3955913,320001,1.0
1619590098.1857076,324001,1.0
1619590210.8530276,328001,1.0
1619590323.1012497,332001,1.0
1619590434.0970142,336001,1.0
1619590546.6478088,340001,1.0
1619590659.368454,344001,1.0
1619590771.0061944,348001,1.0
1619590882.962065,352001,1.0
1619590994.6421528,356001,1.0
1619591106.2221506,360001,1.0
1619591218.143407,364001,1.0
1619591330.1173239,368001,1.0
1619591441.32687,372001,1.0
1619591553.979526,376001,1.0
1619591665.2868867,380001,1.0
1619591777.9213781,384001,1.0
1619591890.210777,388001,1.0
1619592002.3368583,392001,1.0
1619592115.5304456,396001,1.0
1619592227.2555332,400001,1.0
1619592339.5865114,404001,1.0
1619592453.3398926,408001,1.0
1619592558.9090652,412001,1.0
1619592662.1141202,416001,1.0
1619592765.2873816,420001,1.0
1619592868.709227,424001,1.0
1619592971.5945957,428001,1.0
1619593074.900538,432001,1.0
1619593178.3356426,436001,1.0
1619593281.0231123,440001,1.0
1619593386.4138727,444001,1.0
1619593490.7097952,448001,1.0
1619593594.7060053,452001,1.0
1619593698.9370682,456001,1.0
1619593803.087537,460001,1.0
1619593906.3502998,464001,1.0
1619594010.5889614,468001,1.0
1619594115.433069,472001,1.0
1619594219.2567432,476001,1.0
1619594323.3648245,480001,1.0
1619594428.9587243,484001,1.0
1619594533.0323162,488001,1.0
1619594637.1962364,492001,1.0
1619594742.3410442,496001,1.0
1619594846.935339,500001,1.0
