Wall time,Step,Value
1619560072.3530679,4001,0.4375
1619560090.551902,8001,0.125
1619560109.079009,12001,0.375
1619560127.3745449,16001,0.125
1619560145.5172443,20001,0.625
1619560162.6628537,24001,0.25
1619560180.7380958,28001,0.625
1619560199.641008,32001,0.25
1619560218.3809764,36001,0.75
1619560236.9876907,40001,0.5
1619560255.5698667,44001,0.75
1619560274.1144886,48001,0.875
1619560292.0912588,52001,0.5
1619560310.6501596,56001,0.875
1619560328.8605096,60001,1.0
1619560346.995876,64001,0.625
1619560365.119554,68001,0.875
1619560383.9221852,72001,0.875
1619560403.2045863,76001,0.875
1619560422.4553394,80001,1.0
1619560441.0819497,84001,1.0
1619560460.1465514,88001,1.0
1619560478.5757864,92001,1.0
1619560497.1759439,96001,1.0
1619560516.0633552,100001,1.0
1619560535.986324,104001,0.875
1619560555.2465198,108001,0.875
1619560573.9211204,112001,1.0
1619560593.6060784,116001,1.0
1619560614.3225398,120001,1.0
1619560634.4920826,124001,1.0
1619560654.3689904,128001,1.0
1619560674.947722,132001,1.0
1619560694.3989851,136001,1.0
1619560713.587721,140001,1.0
1619560732.5781999,144001,1.0
1619560751.6906397,148001,0.875
1619560771.2951572,152001,0.875
1619560790.0045853,156001,1.0
1619560809.2314682,160001,1.0
1619560827.9554625,164001,1.0
1619560847.2881565,168001,1.0
1619560867.1981742,172001,1.0
1619560886.7282696,176001,1.0
1619560906.2021108,180001,1.0
1619560924.7566192,184001,1.0
1619560943.7505143,188001,1.0
1619561066.068588,192001,1.0
1619561086.816085,196001,1.0
1619561105.8780274,200001,1.0
1619561124.949854,204001,1.0
1619561145.2766314,208001,1.0
1619561164.9735596,212001,1.0
1619561184.1863499,216001,1.0
1619561204.1471717,220001,1.0
1619561224.1699378,224001,1.0
1619561243.9746377,228001,1.0
1619561263.764142,232001,1.0
1619561284.2206736,236001,1.0
1619561304.6338766,240001,1.0
1619561325.1993217,244001,1.0
1619561345.7492323,248001,1.0
1619561367.1178727,252001,1.0
1619561387.7094042,256001,1.0
1619561407.480327,260001,1.0
1619561428.177059,264001,1.0
1619561449.5339062,268001,1.0
1619561470.2405422,272001,1.0
1619561491.3513541,276001,1.0
1619561511.7899761,280001,1.0
1619561530.6929476,284001,1.0
1619561552.5892742,288001,1.0
1619561573.8336577,292001,1.0
1619561594.77544,296001,1.0
1619561614.9286447,300001,1.0
1619561635.479446,304001,1.0
1619561655.6669233,308001,1.0
1619561675.696094,312001,1.0
1619561696.2087097,316001,1.0
1619561716.844042,320001,1.0
1619561737.0729406,324001,1.0
1619561758.1557078,328001,1.0
1619561778.7263372,332001,1.0
1619561800.5593097,336001,1.0
1619561821.5069525,340001,1.0
1619561841.329848,344001,1.0
1619561861.3383443,348001,1.0
1619561882.734869,352001,1.0
1619561902.9289055,356001,1.0
1619561923.491625,360001,1.0
1619561943.8448048,364001,1.0
1619561966.3442752,368001,1.0
1619561987.645798,372001,1.0
1619562009.3483036,376001,1.0
1619562030.249238,380001,1.0
1619562050.356772,384001,1.0
1619562069.9339955,388001,1.0
1619562089.838495,392001,1.0
1619562110.9029648,396001,1.0
1619562132.8333924,400001,1.0
1619562152.6653738,404001,1.0
1619562173.5567875,408001,1.0
1619562192.9039602,412001,1.0
1619562212.3449938,416001,1.0
1619562232.4043753,420001,1.0
1619562253.6360686,424001,1.0
1619562274.519028,428001,0.875
1619562294.6678417,432001,1.0
1619562316.0334327,436001,1.0
1619562336.9731314,440001,1.0
1619562357.6633122,444001,1.0
1619562377.8144767,448001,1.0
1619562398.404614,452001,1.0
1619562417.8964977,456001,1.0
1619562437.392193,460001,1.0
1619562457.7342856,464001,1.0
1619562476.993269,468001,1.0
1619562496.7417893,472001,1.0
1619562516.8958004,476001,1.0
1619562536.1430385,480001,1.0
1619562556.653762,484001,1.0
1619562576.3630133,488001,1.0
1619562595.672356,492001,1.0
1619562614.9691927,496001,1.0
1619562634.1774216,500001,1.0
