Wall time,Step,Value
1619640928.843951,4001,-34.879676818847656
1619640979.2382472,8001,-33.483333587646484
1619641029.7951903,12001,-31.696983337402344
1619641080.8210523,16001,-31.741540908813477
1619641131.8618517,20001,-32.87314987182617
1619641182.6410108,24001,-31.36826515197754
1619641233.399506,28001,-30.100419998168945
1619641284.029575,32001,-28.73695945739746
1619641334.9655306,36001,-27.890701293945312
1619641386.3915217,40001,-26.762657165527344
1619641437.1390321,44001,-25.323163986206055
1619641487.9655855,48001,-23.907384872436523
1619641539.753594,52001,-23.60569953918457
1619641591.4338489,56001,-21.755781173706055
1619641643.5199375,60001,-22.845190048217773
1619641694.8553889,64001,-22.463335037231445
1619641747.1360118,68001,-21.58483123779297
1619641798.7840986,72001,-20.019895553588867
1619641850.1167164,76001,-21.019210815429688
1619641902.8229806,80001,-20.747840881347656
1619641955.0104635,84001,-19.605274200439453
1619642006.9625404,88001,-18.934349060058594
1619642059.5670917,92001,-18.60476303100586
1619642112.8815045,96001,-17.85847282409668
1619642166.9603367,100001,-17.037939071655273
1619642221.4857073,104001,-16.407859802246094
1619642274.9474015,108001,-16.687088012695312
1619642328.4607527,112001,-15.259961128234863
1619642382.9245996,116001,-15.984591484069824
1619642436.7968764,120001,-15.612960815429688
1619642491.8820732,124001,-14.63145923614502
1619642545.6066434,128001,-14.979616165161133
1619642599.9906447,132001,-14.754802703857422
1619642655.0688522,136001,-14.668997764587402
1619642711.0321963,140001,-14.369302749633789
1619642765.0501823,144001,-15.195378303527832
1619642819.8296742,148001,-14.286561965942383
1619642874.7327282,152001,-13.51947021484375
1619642929.3586771,156001,-12.919864654541016
1619642984.2394733,160001,-13.57741641998291
1619643039.0790813,164001,-13.137386322021484
1619643094.169127,168001,-12.1041841506958
1619643149.723458,172001,-12.267098426818848
1619643204.8106973,176001,-12.3464994430542
1619643260.359721,180001,-12.369011878967285
1619643317.0020552,184001,-12.004313468933105
1619643373.2756422,188001,-12.038374900817871
1619643428.8497086,192001,-12.872852325439453
1619643484.376603,196001,-12.202850341796875
1619643540.0189664,200001,-11.250870704650879
1619643595.5435312,204001,-12.192140579223633
1619643651.7306728,208001,-12.324567794799805
1619643708.1653337,212001,-11.676730155944824
1619643765.0489376,216001,-10.996679306030273
1619643821.8636897,220001,-11.6685152053833
1619643878.3796704,224001,-11.023710250854492
1619643935.0300715,228001,-10.685222625732422
1619643991.465031,232001,-11.215559005737305
1619644047.9971366,236001,-10.740510940551758
1619644105.3768592,240001,-10.381248474121094
1619644161.8243608,244001,-10.638420104980469
1619644220.1293468,248001,-10.393570899963379
1619644278.5858595,252001,-10.089802742004395
1619644336.343365,256001,-10.417766571044922
1619644394.0393636,260001,-10.362415313720703
1619644451.191191,264001,-10.211685180664062
1619644508.117211,268001,-10.298121452331543
1619644566.7596295,272001,-9.956911087036133
1619644626.274,276001,-9.622849464416504
1619644685.887834,280001,-9.974799156188965
1619644745.673871,284001,-9.885651588439941
1619644805.4634004,288001,-9.85018253326416
1619644865.1187046,292001,-9.513782501220703
1619644924.6531687,296001,-9.516947746276855
1619644984.3915815,300001,-9.692499160766602
1619645044.231903,304001,-9.49496078491211
1619645104.4680855,308001,-9.144391059875488
