Wall time,Step,Value
1619640928.8422751,4001,0.0
1619640979.239424,8001,0.0
1619641029.7962806,12001,0.125
1619641080.8222013,16001,0.375
1619641131.8629932,20001,0.0
1619641182.6421428,24001,0.125
1619641233.400587,28001,0.125
1619641284.0305953,32001,0.0
1619641334.9665952,36001,0.375
1619641386.392958,40001,0.25
1619641437.1402147,44001,0.0
1619641487.9668283,48001,0.0
1619641539.755071,52001,0.375
1619641591.4350157,56001,0.125
1619641643.5210595,60001,0.125
1619641694.856563,64001,0.375
1619641747.1370542,68001,0.25
1619641798.7851083,72001,0.25
1619641850.117686,76001,0.25
1619641902.8240366,80001,0.25
1619641955.0115895,84001,0.375
1619642006.9636252,88001,0.375
1619642059.5683265,92001,0.375
1619642112.88281,96001,0.375
1619642166.9614544,100001,0.5
1619642221.486646,104001,0.375
1619642274.948424,108001,0.375
1619642328.4617772,112001,0.625
1619642382.9256716,116001,0.5
1619642436.797943,120001,0.375
1619642491.8832555,124001,0.375
1619642545.6076179,128001,0.625
1619642599.9918118,132001,0.625
1619642655.0700588,136001,0.625
1619642711.0332036,140001,0.75
1619642765.051316,144001,0.625
1619642819.8310935,148001,0.25
1619642874.7338693,152001,0.375
1619642929.359698,156001,0.375
1619642984.2407737,160001,0.625
1619643039.08018,164001,0.75
1619643094.170246,168001,0.5
1619643149.7247007,172001,0.5
1619643204.811612,176001,0.625
1619643260.3610005,180001,0.625
1619643317.003335,184001,0.375
1619643373.2767236,188001,0.5
1619643428.8508189,192001,0.375
1619643484.377711,196001,0.75
1619643540.020128,200001,0.375
1619643595.5446122,204001,0.375
1619643651.7318177,208001,0.75
1619643708.166667,212001,0.625
1619643765.0502524,216001,0.625
1619643821.8650537,220001,0.375
1619643878.380824,224001,0.875
1619643935.0311792,228001,0.625
1619643991.4660165,232001,0.875
1619644047.998251,236001,0.625
1619644105.3780415,240001,0.5
1619644161.8254416,244001,0.625
1619644220.1305995,248001,0.625
1619644278.5870616,252001,0.875
1619644336.3444538,256001,0.625
1619644394.0406153,260001,0.625
1619644451.1924279,264001,0.25
1619644508.118342,268001,0.75
1619644566.7610755,272001,0.75
1619644626.2750325,276001,0.875
1619644685.8888729,280001,1.0
1619644745.6750426,284001,0.875
1619644805.4647593,288001,0.625
1619644865.1200914,292001,0.5
1619644924.6542654,296001,0.625
1619644984.3929555,300001,0.875
1619645044.2331696,304001,0.75
1619645104.4694355,308001,0.625
1619645165.1979263,312001,0.75
1619645227.7048233,316001,0.5
1619645290.0338926,320001,0.875
1619645352.8854072,324001,0.75
1619645412.9067256,328001,0.625
1619645473.9776073,332001,1.0
1619645534.5065055,336001,0.625
1619645594.6906033,340001,0.75
1619645655.3402233,344001,0.75
1619645715.209533,348001,0.75
1619645775.8380892,352001,0.375
1619645835.420393,356001,0.5
1619645894.7402906,360001,0.375
1619645954.68643,364001,0.375
1619646013.8938928,368001,0.75
1619646073.9972816,372001,0.75
1619646135.1033607,376001,0.5
1619646195.5392318,380001,0.75
1619646256.3737738,384001,0.875
1619646316.9748156,388001,0.75
1619646376.4729953,392001,0.75
1619646436.814558,396001,0.5
1619646496.422695,400001,0.75
1619646555.2278178,404001,0.625
1619646616.0271237,408001,0.75
1619646676.8991182,412001,0.625
1619646736.593687,416001,0.875
1619646797.46586,420001,0.875
1619646858.3597183,424001,1.0
1619646918.724636,428001,0.375
1619646979.1725004,432001,0.625
1619647040.5810647,436001,1.0
1619647102.0435333,440001,0.625
1619647163.9532106,444001,1.0
1619647226.9869897,448001,1.0
1619647287.52801,452001,0.625
1619647348.0685484,456001,0.875
1619647409.876935,460001,1.0
1619647472.117607,464001,0.75
1619647534.7419732,468001,0.625
1619647597.4581175,472001,0.75
1619647659.01234,476001,0.75
1619647720.194584,480001,0.75
1619647782.1210074,484001,0.75
1619647844.079309,488001,0.5
1619647905.6694543,492001,0.375
1619647967.407594,496001,0.75
1619648030.1296248,500001,0.75
1619648091.3125632,504001,0.875
1619648152.2325313,508001,0.75
1619648214.8788898,512001,0.75
1619648276.8212674,516001,0.625
1619648339.1273115,520001,0.875
1619648401.690137,524001,1.0
1619648463.6168003,528001,0.875
1619648525.219805,532001,0.75
1619648588.0256226,536001,1.0
1619648650.53686,540001,0.875
1619648713.7710373,544001,0.75
1619648778.226236,548001,0.625
1619648840.6719189,552001,1.0
1619648903.6884494,556001,0.75
1619648966.2481425,560001,1.0
1619649028.371041,564001,1.0
1619649091.559423,568001,0.625
1619649154.692772,572001,0.875
1619649218.368746,576001,0.875
1619649281.697657,580001,1.0
1619649344.8814707,584001,0.75
1619649408.874757,588001,0.75
1619649472.699755,592001,1.0
1619649536.1436012,596001,0.75
1619649599.8635032,600001,0.75
1619649664.383356,604001,0.75
1619649728.6421685,608001,1.0
1619649792.748724,612001,0.875
1619649856.9338164,616001,0.875
1619649920.4868531,620001,0.875
1619649984.7888305,624001,0.875
1619650048.3599637,628001,1.0
1619650111.990231,632001,0.875
1619650175.9610474,636001,0.875
1619650240.4969506,640001,0.875
1619650304.6563568,644001,0.75
1619650369.827875,648001,0.875
1619650435.1589155,652001,1.0
1619650499.5689921,656001,1.0
1619650563.8520982,660001,0.875
1619650628.176969,664001,1.0
1619650692.413729,668001,0.625
1619650757.3264368,672001,1.0
1619650822.1586952,676001,1.0
1619650888.540409,680001,1.0
1619650953.6723878,684001,1.0
1619651019.4662,688001,0.875
1619651083.8486133,692001,0.5
1619651148.3799002,696001,1.0
1619651213.719564,700001,0.75
1619651278.582507,704001,0.75
1619651345.3648038,708001,0.875
1619651410.9088142,712001,0.875
1619651475.4049776,716001,1.0
1619651539.8169584,720001,0.875
1619651604.9552119,724001,0.5
1619651670.199746,728001,1.0
1619651737.3031263,732001,0.75
1619651802.8078134,736001,1.0
1619651867.3534787,740001,0.875
1619651932.2836173,744001,0.75
1619651997.5509017,748001,0.875
1619652063.4840064,752001,0.75
1619652130.668576,756001,1.0
1619652197.9485192,760001,1.0
1619652263.3953297,764001,1.0
1619652329.4057167,768001,1.0
1619652396.0430138,772001,0.75
1619652462.1922946,776001,1.0
1619652527.7825246,780001,1.0
1619652594.719587,784001,1.0
1619652659.95346,788001,0.625
1619652726.9605627,792001,0.875
1619652792.9624605,796001,0.875
1619652859.6818347,800001,0.875
1619652925.4035225,804001,0.875
1619652992.6574996,808001,1.0
1619653059.3962367,812001,1.0
1619653125.9545631,816001,1.0
1619653192.6414025,820001,1.0
1619653260.2899928,824001,1.0
1619653328.0903194,828001,0.875
1619653396.29447,832001,0.875
1619653464.907737,836001,1.0
1619653531.428646,840001,1.0
1619653598.297572,844001,1.0
1619653663.6146233,848001,0.875
1619653729.4082048,852001,1.0
1619653796.6451104,856001,1.0
1619653863.8911896,860001,0.875
1619653930.4555643,864001,1.0
1619653996.532357,868001,0.875
1619654063.903858,872001,1.0
1619654128.9330773,876001,1.0
1619654196.0197182,880001,0.875
1619654261.9346578,884001,0.875
1619654328.2803626,888001,1.0
1619654394.7152452,892001,1.0
